text_clean_joined,date,sentiment_gemini
pertamina bisu dek,2025-11-09,negatif
mbakk sama banget demi allah aku ga ikhlasssss biarin ntar tak tuntut di akhirat,2025-10-31,negatif
sudah disidak sama pertamina dan tim bahlil kata kualitas bbm di jatim baik baik saja yaampuuuun gin amat jadi wni serius kita cuma pasrah,2025-11-04,negatif
ncen e bahlil ahli neroko,2025-10-31,negatif
uu lindung konsumen ga laku pada pertamina susah ngelawan usaha bumn kecuali masyarakat satu untuk demo minta agar kembali kualitas yang layak untuk kendara mereka,2025-10-31,negatif
gais baca doa nabi yunus aja khusus buat pertamina dan jajar,2025-10-31,negatif
klarifikasi pertamina di berita tv nasional tadi udah cek sesuai prosedur dan yang masalah motor masyarakat padahal udah jelas bensin gabisa nyatu kayak ada air logika kalo motor masyarakat yang memang masalah ga akan massal ini yang kena imbas,2025-10-31,negatif
next isi bp mba wes ready nang nginden kertajaya pemuda karo citraland,2025-10-31,netral
dikiro rakyat iki duit e ga entek turun gawe nang bengkel mangkel,2025-10-31,negatif
please siapa yang tanggung jawab not dong kita nih rakyat kecil di dzolimi terus itu kendara kalau rusak juga servis pakai uang sendiri kasi banget kita rakyat kecil,2025-11-01,negatif
jare saiki wes isok klaim baik motor mbak nak spbu tapi koen eruh salah siji syarate lampir struk sejak kapan tuku bensin entuk struk ket jaman elek yo ga pernah dikei struk nek wayahe njaluk yo alesane opo bolo coba kei contoh alesane petugase opo ae,2025-10-31,negatif
ngene kok jare onok berita jatim aman lah iki buktie,2025-10-31,negatif
bahlil tanggung dosa semua masyarakat yg isi bensin di pertamina,2025-11-01,negatif
pegawai pertamina gaji akehpodo dzolim kabeh tri ne podog ikhlasg ridhokita sama tuntut di akhiratkrn hukum dunia sangat lemah,2025-11-02,negatif
wni melbu surgo kabeh iki,2025-10-31,negatif
alhamdulillah motor aman gawe pertamaxmotor genio,2025-11-03,positif
wakil curah hati para warga brebet se indonesia,2025-10-31,negatif
minimal klo monopoli pasar produk bagus,2025-10-31,negatif
yaallah urip ning konoha enek wae cobaane dzolim iki pemerintahe,2025-11-01,negatif
wis viral wis di lapor pertamina e anteng ae koyok ngak onok opo awak,2025-11-01,negatif
jangan sing pertalite aku sing ngisi pertamax lakok budal nang bengkel padahal sebelume ngisi shell baik aja lakok isi si merah brebet gaiso dinyalakno jare mas e karena bahan bakar e yo elek,2025-10-31,negatif
trus sing bener kudu isi bensin opo guyss pliss mene wayah e tuku bensin soale,2025-10-31,netral
yg motor karbulator rpmnya jadi ga stabil alhasil berangkat kuliah pas di lampu merah jalan merr mati dongg mesin bayangin di bel orang di belakang aku ga kira ngebelnya,2025-10-31,negatif
pertamina sekarang lagi budek mbak banyak untung,2025-11-01,negatif
indonesia gaada macam hukum yang bikin beneran takutmengekang bahaya nyawa koruptor ya wajar makin itu lagi abisin kaya indo belum periode abis pinter si selagi uu ampas aset atau hukum mati gaada ya bakal gin terus sampe ratus tahun depan,2025-11-01,negatif
mbaa aku vario yo ngisi pertamax terus tp belakang brebet brebet ancene bahlil bahlul,2025-10-31,negatif
prabowo kok diem aja,2025-10-31,negatif
sebal,2025-10-31,negatif
review dari aku yg motor bagi brebet hari ini isi bensin hari minggu tgl isi pertalite full motor pcx senin sampe kamis pagi buat kerja masih oke kamis sore mulai rasa gas nya tbtb turun sendiri strip bensin masih sisa jumat pagi buat kerja masih aman dikit tp gas motor bolak balik turun damnnn jumat sore makin parah cepat normal atas udah kek motor abis bensin,2025-10-31,negatif
yg pasti pasti aja,2025-11-06,netral
untuk sementara aku tuku bensin ecer sek,2025-10-31,netral
salam satu keropos,2025-11-03,negatif
kenapa banyak yg troble honda,2025-11-01,netral
aku pake pertamax turbo,2025-11-02,netral
anjir aku baru isi pertamax turbo motor vario lawas smoga amaaan,2025-10-31,negatif
jadi kapan,2025-11-01,netral
semangat rin,2025-10-31,positif
vario cc ku pantau aman ini harus ku lanjut pertalite apa ganti apa ini,2025-10-31,netral
pertamina ganti rugi gak yaa misal bbm gratis th gitu,2025-11-04,netral
ngisi nk pom ndi mbk,2025-10-31,netral
pegawai pertamina nerimo gaji tok wayah ruwet ngene bisu kabeh pret,2025-10-31,negatif
daerah ndi mbk,2025-10-31,netral
enak e isi opo rek seriuss,2025-11-01,netral
di iso es teh,2025-11-01,netral
brebet brebet tengah dal moro mati bahlil mbokneambleg ancenn,2025-10-31,negatif
sama mbk aku juga motor aja baru bulan beli udh brebet pdhl belum aman nyata sama pas di tap bawah ada cair bening bawah gitu,2025-11-01,negatif
haha motor sek ket minggu grg metu plat e wes bosok,2025-11-05,negatif
ya allah nyata ga cuman ak yaa tiap brangkat krja nderedeg gas motor tbtb turun ky mau mogok di tengah jalan parno bgt takut di tabrak dr blakang,2025-11-03,negatif
sumpah kudu tak pisui peda pisann,2025-10-31,negatif
gue pakai pertamax juga ngegas gak enak banget,2025-10-31,negatif
iki enak e tuku bensin opo rek pertamax t pertalit,2025-10-31,netral
yuk yang bilang siapa presiden atau jabat gak ngaruh ke hidup kita mulai melek lagi yuuukk,2025-11-01,negatif
ges coba isi di pom jemursari deket rsi itu pom perintah kode gak campur air kode selain kasus bgt campur air,2025-10-31,netral
naudzubillah ojok sampe beat karbu sayang mogok ya allah tak eman poll tak isi partamax dri dulu alhamdulillah masih aman mugo spbu panjang g aneh aneh,2025-10-31,netral
mbak beat racingku yo melu trend e bahlil yaampunn iki sek durung ta gowo nde bengkel,2025-10-31,negatif
benkelbahlil,2025-10-31,negatif
ide bagus kan,2025-10-31,netral
tolong lahh woyyy bp sama shell adain lagi sumpah isi pertamax boros minta ampun masa isi fulltank cuman dari rumah ke kampus ngurangin bar,2025-10-31,negatif
bahlil,2025-10-31,negatif
kok bisasumpah gw heran,2025-10-31,negatif
oh ini lapang kerja di bengkel yakin bisa jt,2025-10-31,positif
reaksi gw,2025-11-01,netral
bahlil cerdas buat para bengkel dapat langgan buat indonesia makin maju,2025-10-31,positif
turbo kena oplos juga,2025-10-31,negatif
bahlil loh saya gatau habis rapat,2025-10-31,netral
jgn pertalite buat jelek supaya kendara alih ke pertamaxbiar untung nya lebih gede dan plotwistnya sama aja kualitas nyacuman gak ngantri aja,2025-10-31,negatif
udah bener ada shell ehh bahlil malah nutup shell jadi curiga,2025-10-31,negatif
brarti motor ngelag ngelag,2025-10-31,negatif
capek bnget hidup di indonesia,2025-10-31,negatif
kirain motor gw doang,2025-10-31,negatif
tau lah ya laku siapa,2025-10-31,negatif
jadi pngn buka bekel makasih pak bahlil udh kasih kerja,2025-11-02,positif
bahas tentang sudan bang,2025-10-31,netral
arti daerah situ yg gk bener pertamina nya soal sini aman aja tu,2025-10-31,negatif
brrti tuju bahlil buat mekanik motor banjir cuan,2025-10-31,positif
bahlil b ny ap,2025-10-31,netral
gw korban nya jir,2025-10-31,negatif
ini antara bagus atau ngga bagus tukang bengkel dpet bnyk duit ngga nya karena kendara bayar lagi buat bengkel ini yang di nama yin dan yang,2025-10-31,netral
sama mtorku jg skrang mulai brebet pdahal kmrin nggak,2025-10-31,negatif
pertamina bengkel,2025-10-31,netral
jangan nanti ada yang bilang siapa tau tuju benar pak bahlil campur bahan bakar dengan etanol itu benar sengaja biar motor cepet rusak jdi tukang bengkel banjir job dan banyak dapat rezeki,2025-10-31,negatif
bahlil dendam tu kemaren muka di buat meme soal,2025-10-31,negatif
bro motor kredit gw baru beli bulan yg lalu malah brebet ya ampun,2025-10-31,negatif
kangen indonesia normal,2025-10-31,negatif
pertamax sama aja justru awal masalah di pertamax baru rembet ke pertalite lih bahlil,2025-10-31,negatif
gue isi pertamax sama aja bang ngelag juga,2025-10-31,negatif
shell g ad barang pertamina ad barang tapi ngrusak mesin,2025-10-31,negatif
pertamax yo rusak trus isi opo iki,2025-10-31,negatif
mosok y paling aman sepeda listrik sak iki ngisi bensin ae ya di jaajahtinggal ndek konoha kok g nyaaman bgt y rakyat kecil derita kagak bisa bayangin kasi yg punya motor jadul apalagi gojek gojek,2025-10-31,negatif
pertamina sakjane isok kerja sing bener gak sehhhh,2025-10-31,negatif
iki sue indonesia lomba dorong motor,2025-10-31,negatif
iki kyake perang dagang pertamina dan swasta tapi banyak antek swasta yg kerja di pertamina jadi mudah untuk mengsabotase wkwkwk,2025-10-31,negatif
gitu itu pegawai pertamina sendiri motor pada kena juga gas,2025-10-31,negatif
