"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Pertamina bisu dek 😂😭","0","0","2025-11-09T12:00:02.000Z","soo_xoo","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7126497095187956762","7570694170377978631","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/82a5cd71d020e88eff2cd3a1be3028d0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c3ad1c34&x-expires=1762776000&x-signature=xbJaZv7RBiW7tmx6PSwH%2B5FEIjE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"MBAKK SAMA BANGET DEMI ALLAH AKU GA IKHLASSSSS, BIARIN NTAR TAK TUNTUT DI AKHIRAT😭😞","5760","66","2025-10-31T07:57:30.000Z","inii.nayaa","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6798848452337697794","7567291882751427335","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e8b6330ef9ffc7b84917926bc7ed801c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c401b51f&x-expires=1762776000&x-signature=NNI1L2FiLxTt%2F5fYsvdSqUZyTNI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"sudah disidak sama Pertamina dan tim bahlil,, katanya kualitas BBM di jatim baik baik saja,, yaampuuuun,, gini amat jadi WNI,, 😌serius kita cuma pasrah","48","6","2025-11-04T00:19:25.000Z","style_terkini1","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7186051967986123777","7568658104092492564","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f6889f7b872da421675f84bca3bab9ae~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=221419bc&x-expires=1762776000&x-signature=5A4i7sfn6C1mRUn74fQ6PaRSHMc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"ncen e bahlil ahli neroko","884","17","2025-10-31T10:30:03.000Z","brumbrummm13","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7085920440681792514","7567331211447337736","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/8a33c8d450d1a84842a9ee1faf238f91~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e53021ba&x-expires=1762776000&x-signature=y02F7I9TQeG3KISvDRW03TLwlxQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"UU perlindungan konsumen ga berlaku pada Pertamina 🙂 susah ngelawan Perusahaan BUMN. Kecuali masyarakat bersatu untuk demo meminta agar kembalikan kualitas yang layak untuk kendaraan mereka.","1745","19","2025-10-31T15:35:11.000Z","kanajshu","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7268335746145272838","7567409812230882065","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bfb02cf2d3bbb2232656908f2ede0fc5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ac18452&x-expires=1762776000&x-signature=dEtIiZvZiuHpcLjDRTPITTzJS%2B4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"gais baca doa nabi yunus aja khusus buat pertamina dan jajarannya","119","1","2025-10-31T14:34:06.000Z","muthiarhma","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6811364749819282434","7567394069833302785","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/168959bedd9c94c84de157b31f83043f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e8908cea&x-expires=1762776000&x-signature=XiWi1LSftqiHhOPsTycDvFwv0rE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"klarifikasi pertamina di berita tv nasional tadi udah dicek sesuai prosedur dan yang bermasalah motor masyarakat padahal udah jelas bensinnya gabisa nyatu kayak ada airnya, logikanya kalo motor masyarakat yang memang bermasalah ga akan massal ini yang kena imbas","374","17","2025-10-31T15:10:14.000Z","sukacrochet","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7056208161972585473","7567403401375564564","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/fc29bd6037ab4d8356e9d6a8d3220ac1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=148fd84b&x-expires=1762776000&x-signature=XMHx9bX8j7jpHcwzI5v0svp58NI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"next isi BP mba, wes ready nang nginden, kertajaya, pemuda, karo citraland","770","75","2025-10-31T10:20:16.000Z","rafaelbimawan","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7209897393697162267","7567328691718521620","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/eea7d2efb8eddc171ff2eb3c6e695266~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b08182ea&x-expires=1762776000&x-signature=Vu0XuZNTfxrIuAO%2B5oXjGKYrhBM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"dikiro rakyat iki duit e ga entek² 7 turunan gawe nang bengkel 😭 mangkel","60","1","2025-10-31T11:50:32.000Z","pintansuci","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6960237611324785670","7567351947675255570","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/96c8de3411f4a920a5ddc3491a225a0e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1f35f912&x-expires=1762776000&x-signature=ZCOnG10SOqbzHhyIUOmN6Z3JPIk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"please siapapun yang bertanggung jawab notis dong kita nih rakyat kecil di dzolimi terus, itu kendaraan kalau rusak juga servisnya pakai uang sendiri kasian banget kita rakyat kecil 😭","25","0","2025-11-01T00:58:19.000Z","ilmupolapead","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6921735533576225793","7567554927372731143","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ab463a580d68c5c22a374c902ca4d828~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=39d66251&x-expires=1762776000&x-signature=xaVu5raAKecjJx6543QexJwoYZw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
