text_clean_joined,sentiment_gemini
pertamina bisu dek,negatif
mbakk banget allah tidak ikhlasssss biarin ntar tuntut akhirat,negatif
disidak pertamina tim bahlil kualitas bbm jatim yaampuuuun gin wni serius pasrah,negatif
ncen e bahlil ahli neroko,negatif
uu lindung konsumen tidak laku pertamina susah ngelawan usaha bumn kecuali masyarakat satu demo kembali kualitas layak kendara,negatif
gais baca doa nabi yunus aja khusus pertamina jajar,negatif
klarifikasi pertamina berita tv nasional cek sesuai prosedur masalah motor masyarakat bensin gabisa nyatu kayak air logika motor masyarakat masalah tidak massal kena imbas,netral
next isi bp mba wes ready nang nginden kertajaya pemuda karo citraland,positif
dikiro rakyat iki duit e tidak entek turun gawe nang bengkel mangkel,negatif
please tanggung not rakyat dzolimi kendara rusak servis pakai uang kasi banget rakyat,negatif
jare saiki wes isok klaim baik motor mbak anak spbu koen eruh salah siji syarate lampir struk tuku bensin entuk struk ket jaman elek yo tidak dikei struk nek wayahe njaluk yo alesane opo bolo coba kei contoh alesane petugase opo ae,negatif
ngene jare onok berita jatim aman iki buktie,negatif
bahlil tanggung dosa masyarakat isi bensin pertamina,negatif
pegawai pertamina gaji akehpodo dzolim kabeh tri ne podog ikhlasg ridhokita tuntut akhiratkrn hukum dunia lemah,negatif
wni melbu surgo kabeh iki,negatif
alhamdulillah motor aman gawe pertamaxmotor genio,positif
wakil curah hati warga brebet indonesia,negatif
minimal monopoli pasar produk bagus,negatif
yaallah urip ning konoha enek wae cobaane dzolim iki pemerintahe,negatif
wis viral wis lapor pertamina e anteng ae koyok ngak onok opo awak,negatif
sing pertalite sing ngisi pertamax lakok budal nang bengkel sebelume ngisi shell aja lakok isi si merah brebet gaiso dinyalakno jare mas e bahan bakar e yo elek,negatif
trus sing bener kudu isi bensin opo guyss please mene wayah e tuku bensin soale,netral
motor karbulator rpmnya tidak stabil alhasil berangkat kuliah pas lampu merah jalan merr mati dongg mesin bayangin bel orang tidak ngebelnya,negatif
pertamina budek mbak banyak untung,negatif
indonesia gaada hukum beneran takutmengekang bahaya nyawa koruptor ya wajar makin abisin kaya indo periode abis pinter si selagi uu ampas aset hukum mati gaada ya gin sampe ratus depan,negatif
mbaa vario yo ngisi pertamax brebet brebet ancene bahlil bahlul,negatif
prabowo diem aja,netral
sebal,negatif
review motor bagi brebet isi bensin minggu tanggal isi pertalite full motor pcx senin sampe kamis pagi kerja oke kamis sore rasa gas tbtb turun strip bensin sisa jumat pagi kerja aman dikit gas motor bolak turun damnnn jumat sore parah cepat normal atas kek motor abis bensin,negatif
aja,netral
tuku bensin ecer sek,netral
salam keropos,negatif
banyak troble honda,negatif
pake pertamax turbo,positif
anjir isi pertamax turbo motor vario lawas smoga amaaan,netral
jadi,netral
semangat rin,positif
vario cc ku pantau aman ku pertalite ganti,positif
pertamina ganti rugi tidak yaa bbm gratis th gitu,negatif
ngisi nk pom ndi mbk,netral
pegawai pertamina nerimo gaji tok wayah ruwet ngene bisu kabeh pret,negatif
daerah ndi mbk,netral
enak e isi opo rek seriuss,netral
iso es teh,netral
brebet brebet dal moro mati bahlil mbokneambleg ancenn,negatif
mbk motor aja beli brebet pdhl aman pas tap bawah cair bening bawah gitu,negatif
motor sek ket minggu grg metu plat e wes bosok,negatif
ya allah tidak cuman ak yaa brangkat krja nderedeg gas motor tbtb turun ky mogok jalan parno takut tabrak blakang,negatif
sumpah kudu pisui peda pisann,negatif
pakai pertamax ngegas tidak enak banget,negatif
iki enak e tuku bensin opo rek pertamax t pertalit,netral
yuk bilang presiden jabat tidak ngaruh hidup melek yuuukk,negatif
ges coba isi pom jemursari deket rsi pom perintah kode tidak campur air kode campur air,netral
naudzubillah ojok sampe beat karbu sayang mogok ya allah eman poll isi partamax dri alhamdulillah aman mugo spbu tidak aneh aneh,negatif
mbak beat racingku yo melu trend e bahlil yaampunn iki sek durung ta gowo nde bengkel,negatif
benkelbahlil,netral
ide bagus,positif
tolong lahh woyyy bp shell adain sumpah isi pertamax boros ampun isi fulltank cuman rumah kampus ngurangin bar,negatif
bahlil,netral
bisasumpah heran,netral
oh lapang kerja bengkel jt,positif
reaksi gw,netral
bahlil cerdas bengkel langgan indonesia maju,positif
turbo kena oplos,negatif
bahlil loh tidak habis rapat,netral
jgn pertalite jelek kendara alih pertamaxbiar untung gede plotwistnya aja kualitas nyacuman tidak ngantri aja,negatif
bener shell ehh bahlil nutup shell curiga,negatif
brarti motor ngelag ngelag,negatif
capek bnget hidup indonesia,negatif
kirain motor doang,netral
ya laku,positif
pngn buka bekel makasih bahlil kasih kerja,positif
bahas sudan bang,netral
daerah situ tidak bener pertamina aman aja tu,negatif
brrti tuju bahlil mekanik motor banjir cuan,positif
bahlil b ap,netral
korban jir,negatif
bagus tidak bagus tukang bengkel dpet bnyk duit tidak kendara bayar bengkel nama yin,netral
mtorku skrang brebet pdahal kmrin tidak,negatif
pertamina bengkel,netral
jangan bilang tuju bahlil campur bahan bakar etanol sengaja motor cepet rusak tukang bengkel banjir job rezeki,negatif
bahlil dendam tu kemaren muka meme,negatif
bro motor kredit beli brebet ya ampun,negatif
kangen indonesia normal,negatif
pertamax aja pertamax rembet pertalite lih bahlil,negatif
isi pertamax aja bang ngelag,negatif
shell tidak ad barang pertamina ad barang ngrusak mesin,negatif
pertamax yo rusak trus isi opo iki,negatif
